operator,from_gare_id,from_gare,to_gare_id,to_gare,source_km,osrm_km,delta_km,ratio
APRR,27,ALLAINES,31,Ambérieu,462.61,510.615,48.005,1.1038
APRR,27,ALLAINES,55,ARLAY,403.12,481.547,78.427,1.1946
APRR,27,ALLAINES,68,Auxerre nord,160.62,234.798,74.178,1.4618
APRR,27,ALLAINES,69,Auxerre sud,172.32,222.049,49.729,1.2886
APRR,27,ALLAINES,72,Avallon,216.42,319.115,102.695,1.4745
APRR,27,ALLAINES,76,Balan,486.64,525.293,38.653,1.0794
APRR,27,ALLAINES,82,BAUME-LES-DAMES,443.12,490.312,47.192,1.1065
APRR,27,ALLAINES,95,Beaune nord,308.07,357.962,49.892,1.162
APRR,27,ALLAINES,96,BEAUNE SUD,313.82,363.437,49.617,1.1581
APRR,27,ALLAINES,97,BEAUPONT,446.82,450.921,4.101,1.0092
APRR,27,ALLAINES,99,Beaurepaire,418.52,465.261,46.741,1.1117
APRR,27,ALLAINES,110,BELLEVILLE S/SAONE,419.52,470.141,50.621,1.1207
APRR,27,ALLAINES,118,BERSAILLIN,398.53,442.514,43.984,1.1104
APRR,27,ALLAINES,119,Besançon est,424.04,471.26,47.22,1.1114
APRR,27,ALLAINES,120,Besançon nord,409.42,456.59,47.17,1.1152
APRR,27,ALLAINES,121,BESANCON OUEST,400.02,448.214,48.194,1.1205
APRR,27,ALLAINES,125,BEYNOST,500.8,520.554,19.754,1.0394
APRR,27,ALLAINES,130,Bierre-les-Semur,242.32,352.162,109.842,1.4533
APRR,27,ALLAINES,151,Bourg nord,420.41,471.083,50.673,1.1205
APRR,27,ALLAINES,152,Bourg sud,440.84,490.208,49.368,1.112
APRR,27,ALLAINES,170,BULGNEVILLE,373.87,412.347,38.477,1.1029
APRR,27,ALLAINES,198,Chalon centre,335.92,385.889,49.969,1.1488
APRR,27,ALLAINES,199,CHALON NORD,333.04,382.463,49.423,1.1484
APRR,27,ALLAINES,200,Chalon sud,342.12,392.223,50.103,1.1464
APRR,27,ALLAINES,221,CHATENOIS,384.02,459.86,75.84,1.1975
APRR,27,ALLAINES,223,CHATILLON-LABORDE,197.24,117.627,-79.613,0.5964
APRR,27,ALLAINES,227,CHAUMONT-SEMOUTIERS,291.49,311.057,19.567,1.0671
APRR,27,ALLAINES,235,Choisey,365.23,414.4,49.17,1.1346
APRR,27,ALLAINES,240,CLERMONT-BARRIERE,334.58,374.64,40.06,1.1197
APRR,27,ALLAINES,246,Colombey-les-Belles,412.72,459.073,46.353,1.1123
APRR,27,ALLAINES,247,Combronde,297.36,379.545,82.185,1.2764
APRR,27,ALLAINES,255,Courtenay,118.31,201.853,83.543,1.7061
APRR,27,ALLAINES,269,DIJON SUD,343.72,367.735,24.015,1.0699
APRR,27,ALLAINES,265,DIJON-ARC S/TILLE,358.88,377.1,18.22,1.0508
APRR,27,ALLAINES,267,Péage de Dijon/Crimolois,391.22,378.621,-12.599,0.9678
APRR,27,ALLAINES,270,Dôle,367.42,415.677,48.257,1.1313
APRR,27,ALLAINES,300,FEILLENS,395.5,444.836,49.336,1.1247
APRR,27,ALLAINES,303,FLEURY-EN-BIERE,202.26,129.682,-72.578,0.6412
APRR,27,ALLAINES,305,FONTAINEBLEAU,159.31,133.532,-25.778,0.8382
APRR,27,ALLAINES,311,FORET DE TRONCAIS,215.75,274.98,59.23,1.2745
APRR,27,ALLAINES,312,Forges,179.97,149.592,-30.378,0.8312
APRR,27,ALLAINES,327,GANNAT,295.37,344.288,48.918,1.1656
APRR,27,ALLAINES,333,GENDREY,384.0,431.728,47.728,1.1243
APRR,27,ALLAINES,335,GERZAT-VILLE,316.22,374.477,58.257,1.1842
APRR,27,ALLAINES,348,GROISSIAT,491.87,535.002,43.132,1.0877
APRR,27,ALLAINES,352,GYE,426.33,440.893,14.563,1.0342
APRR,27,ALLAINES,366,JOIGNY,134.82,237.382,102.562,1.7607
APRR,27,ALLAINES,370,L ISLE-S/LE-DOUBS,460.42,508.24,47.82,1.1039
APRR,27,ALLAINES,377,LA BOISSE,512.45,518.74,6.29,1.0123
APRR,27,ALLAINES,378,LA BOISSE - MONTLUEL,490.92,520.144,29.224,1.0595
APRR,27,ALLAINES,386,LA COTIERE,496.88,522.489,25.609,1.0515
APRR,27,ALLAINES,388,La Croix-Chalon,477.27,527.328,50.058,1.1049
APRR,27,ALLAINES,425,LANGRES NORD,317.82,336.955,19.135,1.0602
APRR,27,ALLAINES,426,Langres sud,324.47,344.804,20.334,1.0627
APRR,27,ALLAINES,450,LE MIROIR,433.66,480.455,46.795,1.1079
APRR,27,ALLAINES,463,LES EPRUNES,220.84,115.396,-105.444,0.5225
APRR,27,ALLAINES,494,Mâcon nord,387.92,452.273,64.353,1.1659
APRR,27,ALLAINES,495,MACON SUD,398.25,492.161,93.911,1.2358
APRR,27,ALLAINES,498,Magnant,240.65,258.812,18.162,1.0755
APRR,27,ALLAINES,507,Marolles-sur-Seine,172.45,142.531,-29.919,0.8265
APRR,27,ALLAINES,549,Montigny-le-Roi,337.92,401.367,63.447,1.1878
APRR,27,ALLAINES,552,MONTMARAULT,253.28,310.375,57.095,1.2254
APRR,27,ALLAINES,585,NEMOURS,156.36,129.347,-27.013,0.8272
APRR,27,ALLAINES,602,NITRY,197.12,287.052,89.932,1.4562
APRR,27,ALLAINES,605,Nuits-St-Georges,326.22,374.788,48.568,1.1489
APRR,27,ALLAINES,637,Pérouges,480.07,528.257,48.187,1.1004
APRR,27,ALLAINES,652,PONT D AIN,455.25,503.29,48.04,1.1055
APRR,27,ALLAINES,660,POUILLY-EN-AUXOIS,271.42,310.918,39.498,1.1455
APRR,27,ALLAINES,683,REPLONGES,398.77,492.967,94.197,1.2362
