pair,vot,engine_eur,engine_min,engine_G,tree_eur,tree_min,tree_G,tree_kind,fastest_unpriced,engine_minus_tree_G,engine_solve_s
Grenoble->Perpignan,5.0,0.0,477.1,39.76,0.0,458.8,38.23,all_skip,0,1.53,0.03
Grenoble->Perpignan,10.0,4.9,446.6,79.33,0.0,458.8,76.46,all_skip,0,2.87,0.03
Grenoble->Perpignan,20.0,32.2,342.1,146.22,38.2,274.3,129.62,asis,0,16.6,0.04
Grenoble->Perpignan,40.0,45.1,312.8,253.64,38.2,274.3,221.04,asis,0,32.6,0.03
Orleans->Montauban,5.0,0.0,404.8,33.74,0.0,397.7,33.15,all_skip,1,0.59,0.02
Orleans->Montauban,10.0,0.0,404.8,67.47,0.0,397.7,66.29,all_skip,1,1.18,0.02
Orleans->Montauban,20.0,10.3,359.9,130.25,6.0,375.3,131.09,surgery,1,-0.84,0.02
Orleans->Montauban,40.0,21.0,335.8,244.87,6.0,375.3,256.19,surgery,1,-11.32,0.02
Grenoble->Montauban,5.0,0.0,463.0,38.58,0.0,458.3,38.19,all_skip,0,0.39,0.02
Grenoble->Montauban,10.0,0.0,463.0,77.17,0.0,458.3,76.39,all_skip,0,0.78,0.02
Grenoble->Montauban,20.0,0.0,463.0,154.33,0.0,458.3,152.77,all_skip,0,1.56,0.02
Grenoble->Montauban,40.0,0.0,463.0,308.66,49.8,360.5,290.12,asis,0,18.54,0.02
Toulouse->Toulon,5.0,0.0,462.5,38.55,0.0,438.1,36.51,all_skip,1,2.04,0.02
Toulouse->Toulon,10.0,0.0,462.5,77.09,0.0,438.1,73.02,all_skip,1,4.07,0.02
Toulouse->Toulon,20.0,24.8,369.6,147.99,27.6,338.4,140.4,surgery,1,7.59,0.02
Toulouse->Toulon,40.0,37.4,342.7,265.88,27.6,338.4,253.21,surgery,1,12.67,0.02
Besancon->Rouen,5.0,0.0,495.1,41.25,0.0,487.9,40.66,all_skip,0,0.59,0.02
Besancon->Rouen,10.0,0.0,495.1,82.51,0.0,487.9,81.31,all_skip,0,1.2,0.02
Besancon->Rouen,20.0,9.9,453.6,161.1,33.2,345.3,148.31,asis,0,12.79,0.02
Besancon->Rouen,40.0,35.7,389.8,295.53,33.2,345.3,263.43,asis,0,32.1,0.02
Perpignan->Bayonne,5.0,0.0,470.7,39.22,0.0,457.1,38.09,all_skip,0,1.13,0.02
Perpignan->Bayonne,10.0,4.8,435.3,77.36,0.0,457.1,76.19,all_skip,0,1.17,0.02
Perpignan->Bayonne,20.0,19.6,366.0,141.6,18.9,360.1,138.94,surgery,0,2.66,0.02
Perpignan->Bayonne,40.0,19.6,366.0,263.6,18.9,360.1,258.98,surgery,0,4.62,0.02
Saint-Etienne->Pau,5.0,0.0,515.8,42.98,0.0,512.8,42.73,all_skip,0,0.25,0.03
Saint-Etienne->Pau,10.0,0.0,515.8,85.96,0.0,512.8,85.46,all_skip,0,0.5,0.03
Saint-Etienne->Pau,20.0,0.0,515.8,171.93,10.7,470.5,167.54,surgery,0,4.39,0.03
Saint-Etienne->Pau,40.0,12.0,476.5,329.69,10.7,470.5,324.39,surgery,0,5.3,0.03
Montpellier->Dijon,5.0,0.0,548.3,45.69,0.0,490.5,40.88,all_skip,0,4.81,0.02
Montpellier->Dijon,10.0,0.0,540.0,90.0,0.0,490.5,81.76,all_skip,0,8.24,0.02
Montpellier->Dijon,20.0,46.9,358.5,166.39,33.8,324.5,141.97,asis,0,24.42,0.02
Montpellier->Dijon,40.0,46.9,358.5,285.88,33.8,324.5,250.14,asis,0,35.74,0.02
Metz->Roanne,5.0,0.0,434.6,36.22,0.0,426.7,35.56,all_skip,0,0.66,0.03
Metz->Roanne,10.0,0.0,434.6,72.43,0.0,426.7,71.11,all_skip,0,1.32,0.03
Metz->Roanne,20.0,22.7,345.6,137.91,20.7,328.4,130.17,asis,0,7.74,0.03
Metz->Roanne,40.0,22.7,345.6,253.12,20.7,328.4,239.65,asis,0,13.47,0.03
Le Mans->Besancon,5.0,0.0,499.7,41.64,0.0,492.7,41.06,all_skip,0,0.58,0.02
Le Mans->Besancon,10.0,0.0,499.7,83.29,0.0,492.7,82.11,all_skip,0,1.18,0.02
