pair,gc_km,vot,fastest_min,fastest_km,fastest_eur,fastest_sections,fastest_unpriced,notoll_min,notoll_km,baseline,baseline_G,tree_min,tree_eur,tree_G,tree_alt,tree_kind,gain_vs_baseline_G,eur_saved_vs_fastest,min_added_vs_fastest,n_choices
Grenoble->Perpignan,358.6,5.0,274.3,444.3,50.3,1,0,458.8,487.5,notoll,38.23,458.8,0.0,38.23,0,all_skip,0.0,50.3,184.5,0
Grenoble->Perpignan,358.6,10.0,274.3,444.3,50.3,1,0,458.8,487.5,notoll,76.46,458.8,0.0,76.46,0,all_skip,0.0,50.3,184.5,0
Grenoble->Perpignan,358.6,20.0,274.3,444.3,50.3,1,0,458.8,487.5,fastest,141.72,274.3,50.3,141.72,0,asis,0.0,0.0,0.0,0
Grenoble->Perpignan,358.6,40.0,274.3,444.3,50.3,1,0,458.8,487.5,fastest,233.14,274.3,50.3,233.14,0,asis,0.0,0.0,0.0,0
Orleans->Montauban,434.1,5.0,309.0,500.4,10.4,3,1,397.7,506.0,notoll,33.15,397.7,0.0,33.15,0,all_skip,0.0,10.4,88.7,0
Orleans->Montauban,434.1,10.0,309.0,500.4,10.4,3,1,397.7,506.0,fastest,61.9,397.7,0.0,66.29,0,all_skip,-4.39,10.4,88.7,0
Orleans->Montauban,434.1,20.0,309.0,500.4,10.4,3,1,397.7,506.0,fastest,113.41,375.3,7.4,132.49,0,surgery,-19.09,3.0,66.3,1
Orleans->Montauban,434.1,40.0,309.0,500.4,10.4,3,1,397.7,506.0,fastest,216.41,375.3,7.4,257.59,0,surgery,-41.18,3.0,66.3,1
Grenoble->Montauban,369.5,5.0,360.5,581.5,49.0,1,0,458.3,525.7,notoll,38.19,458.3,0.0,38.19,0,all_skip,0.0,49.0,97.8,0
Grenoble->Montauban,369.5,10.0,360.5,581.5,49.0,1,0,458.3,525.7,notoll,76.39,458.3,0.0,76.39,0,all_skip,0.0,49.0,97.8,0
Grenoble->Montauban,369.5,20.0,360.5,581.5,49.0,1,0,458.3,525.7,notoll,152.77,458.3,0.0,152.77,0,all_skip,0.0,49.0,97.8,0
Grenoble->Montauban,369.5,40.0,360.5,581.5,49.0,1,0,458.3,525.7,fastest,289.32,360.5,49.0,289.32,0,asis,0.0,0.0,0.0,0
Toulouse->Toulon,366.3,5.0,298.7,470.3,0,1,1,438.1,502.6,fastest,24.89,438.1,0.0,36.51,0,all_skip,-11.62,0.0,139.4,0
Toulouse->Toulon,366.3,10.0,298.7,470.3,0,1,1,438.1,502.6,fastest,49.78,438.1,0.0,73.02,0,all_skip,-23.24,0.0,139.4,0
Toulouse->Toulon,366.3,20.0,298.7,470.3,0,1,1,438.1,502.6,fastest,99.57,438.1,0.0,146.04,0,all_skip,-46.47,0.0,139.4,0
Toulouse->Toulon,366.3,40.0,298.7,470.3,0,1,1,438.1,502.6,fastest,199.14,338.4,37.0,262.61,0,surgery,-63.47,-37.0,39.7,1
Besancon->Rouen,438.7,5.0,345.3,537.6,40.3,2,0,487.9,511.6,notoll,40.66,487.9,0.0,40.66,0,all_skip,0.0,40.3,142.5,0
Besancon->Rouen,438.7,10.0,345.3,537.6,40.3,2,0,487.9,511.6,notoll,81.31,487.9,0.0,81.31,0,all_skip,0.0,40.3,142.5,0
Besancon->Rouen,438.7,20.0,345.3,537.6,40.3,2,0,487.9,511.6,fastest,155.41,345.3,40.3,155.41,0,asis,0.0,0.0,0.0,0
Besancon->Rouen,438.7,40.0,345.3,537.6,40.3,2,0,487.9,511.6,fastest,270.53,345.3,40.3,270.53,0,asis,0.0,0.0,0.0,0
Perpignan->Bayonne,365.9,5.0,304.6,497.1,0,1,1,457.1,482.8,fastest,25.38,457.1,0.0,38.09,0,all_skip,-12.71,0.0,152.5,0
Perpignan->Bayonne,365.9,10.0,304.6,497.1,0,1,1,457.1,482.8,fastest,50.76,457.1,0.0,76.19,0,all_skip,-25.42,0.0,152.5,0
Perpignan->Bayonne,365.9,20.0,304.6,497.1,0,1,1,457.1,482.8,fastest,101.53,373.0,20.4,144.72,0,surgery,-43.19,-20.4,68.4,1
Perpignan->Bayonne,365.9,40.0,304.6,497.1,0,1,1,457.1,482.8,fastest,203.05,373.0,20.4,269.04,0,surgery,-65.98,-20.4,68.4,1
Saint-Etienne->Pau,447.0,5.0,457.5,612.4,51.2,1,0,512.8,592.5,notoll,42.73,512.8,0.0,42.73,0,all_skip,0.0,51.2,55.3,0
Saint-Etienne->Pau,447.0,10.0,457.5,612.4,51.2,1,0,512.8,592.5,notoll,85.46,512.8,0.0,85.46,0,all_skip,0.0,51.2,55.3,0
Saint-Etienne->Pau,447.0,20.0,457.5,612.4,51.2,1,0,512.8,592.5,notoll,170.93,470.5,12.0,168.84,1,surgery,2.08,39.2,13.1,1
Saint-Etienne->Pau,447.0,40.0,457.5,612.4,51.2,1,0,512.8,592.5,notoll,341.85,470.5,12.0,325.69,1,surgery,16.16,39.2,13.1,1
Montpellier->Dijon,422.5,5.0,324.5,495.6,50.7,1,0,490.5,616.8,notoll,40.88,490.5,0.0,40.88,0,all_skip,0.0,50.7,166.0,0
Montpellier->Dijon,422.5,10.0,324.5,495.6,50.7,1,0,490.5,616.8,notoll,81.76,490.5,0.0,81.76,0,all_skip,0.0,50.7,166.0,0
